,link
0,https://www.emol.com/movil/noticias/Nacional/2022/01/09/1043468/programacion-semana-10-enero-emoltv.html
1,https://www.emol.com/movil/noticias/Nacional/2022/01/12/1043834/gobernador-rivas-extension-emergencia-boric.html
2,https://www.emol.com/movil/noticias/Nacional/2022/01/12/1043834/gobernador-rivas-extension-emergencia-boric.html
3,https://www.emol.com/movil/noticias/Nacional/2022/01/13/1043944/gobierno-delgado-paro-camioneros.html
4,https://www.emol.com/movil/noticias/Nacional/2022/01/13/1043944/gobierno-delgado-paro-camioneros.html
5,https://www.emol.com/movil/noticias/Nacional/2022/01/13/1043933/abbott-y-paros-camioneros.html
6,https://www.emol.com/movil/noticias/Nacional/2022/01/13/1043920/mensajes-gestos-boric-enade.html
7,https://www.emol.com/movil/noticias/Nacional/2022/01/13/1043920/mensajes-gestos-boric-enade.html
8,https://www.emol.com/movil/noticias/Economia/2022/01/13/1043924/gran-empresariadoboric-enade.html
9,https://www.emol.com/movil/noticias/Nacional/2022/01/13/1043915/boric-colegios-alza-contagios-coronavirus.html
10,https://www.emol.com/movil/noticias/Nacional/2022/01/13/1043910/boric-criticas-litio.html
11,https://www.emol.com/movil/noticias/Nacional/2022/01/13/1043860/como-quedo-codigo-de-aguas.html
12,https://www.emol.com/movil/noticias/Nacional/2022/01/13/1043860/como-quedo-codigo-de-aguas.html
13,https://www.emol.com/movil/noticias/Deportes/2022/01/13/1043916/tabilo-barrios-qualy-australian-open.html
14,https://www.emol.com/movil/noticias/Deportes/2022/01/13/1043916/tabilo-barrios-qualy-australian-open.html
15,https://www.emol.com/movil/noticias/Deportes/2022/01/13/1043916/tabilo-barrios-qualy-australian-open.html
16,https://www.emol.com/movil/noticias/Deportes/2022/01/13/1043953/tabilo-cuadro-principal-australia.html
17,https://www.emol.com/movil/noticias/Deportes/2022/01/13/1043953/tabilo-cuadro-principal-australia.html
18,https://www.emol.com/movil/noticias/Deportes/2022/01/13/1043951/udechile-plantel-covid-19.html
19,https://www.emol.com/movil/noticias/Deportes/2022/01/13/1043951/udechile-plantel-covid-19.html
