,link
0,https://www.emol.com/movil/noticias/Nacional/2022/01/09/1043468/programacion-semana-10-enero-emoltv.html
1,https://www.emol.com/movil/noticias/Nacional/2022/01/15/1044115/gobierno-alerta-de-tsunami.html
2,https://www.emol.com/movil/noticias/Nacional/2022/01/15/1044113/onemi-tsunami-erupcion-volcanica.html
3,https://www.emol.com/movil/noticias/Nacional/2022/01/15/1044105/alerta-tsunami-region-los-rios.html
4,https://www.emol.com/movil/noticias/Nacional/2022/01/15/1044106/diferencias-estado-precaucion-alerta-tsunami.html
5,https://www.emol.com/movil/noticias/Nacional/2022/01/15/1044106/diferencias-estado-precaucion-alerta-tsunami.html
6,https://www.emol.com/movil/noticias/Internacional/2022/01/15/1044112/ecuador-advertencia-tsunami-tonga.html
7,https://www.emol.com/movil/noticias/Internacional/2022/01/15/1044112/ecuador-advertencia-tsunami-tonga.html
8,https://www.emol.com/movil/noticias/Internacional/2022/01/15/1044102/tsunami-tonga-japon.html
9,https://www.emol.com/movil/noticias/Internacional/2022/01/15/1044091/perfil-tonga.html
10,https://www.emol.com/movil/noticias/Internacional/2022/01/15/1044072/tsunami-terremoto-volcan-tonga.html
11,https://www.emol.com/movil/noticias/Nacional/2022/01/15/1044093/minsal-y-cifras-record-covid.html
12,https://www.emol.com/movil/noticias/Nacional/2022/01/15/1044093/minsal-y-cifras-record-covid.html
13,https://www.emol.com/movil/noticias/Nacional/2022/01/15/1044083/balance-minsal-15-enero-2022.html
14,https://www.emol.com/movil/noticias/Deportes/2022/01/15/1044109/betissevilla-suspendido.html
15,https://www.emol.com/movil/noticias/Deportes/2022/01/15/1044109/betissevilla-suspendido.html
16,https://www.emol.com/movil/noticias/Deportes/2022/01/15/1044109/betissevilla-suspendido.html
17,https://www.emol.com/movil/noticias/Deportes/2022/01/15/1044108/escandalo-betis-sevilla-espana.html
18,https://www.emol.com/movil/noticias/Deportes/2022/01/15/1044108/escandalo-betis-sevilla-espana.html
19,https://www.emol.com/movil/noticias/Deportes/2022/01/15/1044116/mario-jardel-brasil.html
20,https://www.emol.com/movil/noticias/Deportes/2022/01/15/1044116/mario-jardel-brasil.html
21,https://www.emol.com/movil/noticias/Deportes/2022/01/15/1044107/emiliano-martinez-arquero-argentina-error.html
22,https://www.emol.com/movil/noticias/Deportes/2022/01/15/1044107/emiliano-martinez-arquero-argentina-error.html
23,https://www.emol.com/movil/noticias/Deportes/2022/01/15/1044101/roger-federer-thanasi-kokkinakis.html
24,https://www.emol.com/movil/noticias/Deportes/2022/01/15/1044101/roger-federer-thanasi-kokkinakis.html
25,https://www.emol.com/movil/noticias/Deportes/2022/01/15/1044104/johnny-herrera-carrasco-udechile.html
26,https://www.emol.com/movil/noticias/Deportes/2022/01/15/1044104/johnny-herrera-carrasco-udechile.html
27,https://www.emol.com/movil/noticias/Nacional/2022/01/15/1043940/columna-participacion-mujer-pueblos-regiones.html
