,link
0,https://www.emol.com/movil/noticias/Nacional/2022/01/16/1044153/alcaldes-por-zonas-precaucion-tsunami.html
1,https://www.emol.com/movil/noticias/Nacional/2022/01/16/1044153/alcaldes-por-zonas-precaucion-tsunami.html
2,https://www.emol.com/movil/noticias/Nacional/2022/01/16/1044136/arica-cancela-se-mantiene-regiones.html
3,https://www.emol.com/movil/noticias/Nacional/2022/01/16/1044144/shoa-cancela-estado-precuacion-pais.html
4,https://www.emol.com/movil/noticias/Economia/2022/01/16/1044141/gobierno-y-proyecto-por-gas.html
5,https://www.emol.com/movil/noticias/Economia/2022/01/16/1044141/gobierno-y-proyecto-por-gas.html
6,https://www.emol.com/movil/noticias/Economia/2022/01/16/1044123/gasco-poco-tiempo-gobierno-ley.html
7,https://www.emol.com/movil/noticias/Nacional/2022/01/15/1044062/uso-mascarilla-2022-vacunacion-omicron.html
8,https://www.emol.com/movil/noticias/Nacional/2022/01/15/1044062/uso-mascarilla-2022-vacunacion-omicron.html
9,https://www.emol.com/movil/noticias/Nacional/2022/01/16/1043954/residencias-sanitarias-ocupacion-debate-omicron.html
10,https://www.emol.com/movil/noticias/Deportes/2022/01/16/1044160/garin-bagnis-tabilo-alcaraz-australia.html
11,https://www.emol.com/movil/noticias/Deportes/2022/01/16/1044160/garin-bagnis-tabilo-alcaraz-australia.html
12,https://www.emol.com/movil/noticias/Deportes/2022/01/16/1044160/garin-bagnis-tabilo-alcaraz-australia.html
13,https://www.emol.com/movil/noticias/Deportes/2022/01/16/1044163/alex-song-barcelona.html
14,https://www.emol.com/movil/noticias/Deportes/2022/01/16/1044163/alex-song-barcelona.html
15,https://www.emol.com/movil/noticias/Deportes/2022/01/16/1044155/manuel-pellegrini-polemica-betis-sevilla.html
16,https://www.emol.com/movil/noticias/Deportes/2022/01/16/1044155/manuel-pellegrini-polemica-betis-sevilla.html
17,https://www.emol.com/movil/noticias/Deportes/2022/01/16/1044142/pellegrini-lopetegui-clasico.html
18,https://www.emol.com/movil/noticias/Deportes/2022/01/16/1044142/pellegrini-lopetegui-clasico.html
19,https://www.emol.com/movil/noticias/Deportes/2022/01/16/1044157/inter-empata-con-atalanta.html
20,https://www.emol.com/movil/noticias/Deportes/2022/01/16/1044157/inter-empata-con-atalanta.html
21,https://www.emol.com/movil/noticias/Deportes/2022/01/16/1044146/movidas-futbol-chileno.html
22,https://www.emol.com/movil/noticias/Deportes/2022/01/16/1044146/movidas-futbol-chileno.html
23,https://www.emol.com/movil/noticias/Nacional/2022/01/16/1043942/tension-consagrar-cultura-proteccion-propiedad.html
24,https://www.emol.com/movil/noticias/Nacional/2022/01/16/1043942/tension-consagrar-cultura-proteccion-propiedad.html
25,https://www.emol.com/movil/noticias/Nacional/2022/01/16/1043942/tension-consagrar-cultura-proteccion-propiedad.html
26,https://www.emol.com/movil/noticias/Nacional/2022/01/16/1043943/columna-infancia-gran-tarea-pendiente.html
27,https://www.emol.com/movil/noticias/Nacional/2022/01/16/1043943/columna-infancia-gran-tarea-pendiente.html
28,https://www.emol.com/movil/noticias/Nacional/2022/01/16/1043941/iniciativas-populares-economicas-apoyos-debatidas.html
29,https://www.emol.com/movil/noticias/Nacional/2022/01/16/1043941/iniciativas-populares-economicas-apoyos-debatidas.html
30,https://www.emol.com/movil/noticias/Nacional/2022/01/16/1044159/menor-7-anos-accidente-piscina.html
31,https://www.emol.com/movil/noticias/Nacional/2022/01/16/1044159/menor-7-anos-accidente-piscina.html
32,https://www.emol.com/movil/noticias/Nacional/2022/01/16/1044149/reabren-paso-fronterizo-los-libertadores.html
33,https://www.emol.com/movil/noticias/Nacional/2022/01/16/1044149/reabren-paso-fronterizo-los-libertadores.html
34,https://www.emol.com/movil/noticias/Nacional/2022/01/16/1044133/funcionarios-aduanas-piden-libertadores-no.html
35,https://www.emol.com/movil/noticias/Nacional/2022/01/16/1044138/jobet-y-litio.html
36,https://www.emol.com/movil/noticias/Nacional/2022/01/16/1044138/jobet-y-litio.html
37,https://www.emol.com/movil/noticias/Internacional/2022/01/16/1044151/rehenes-sinagoga-texas-hombre-britanico.html
38,https://www.emol.com/movil/noticias/Internacional/2022/01/16/1044151/rehenes-sinagoga-texas-hombre-britanico.html
39,https://www.emol.com/movil/noticias/Tendencias/2022/01/16/1044023/pasaporte-ruta-parque-patagonia.html
40,https://www.emol.com/movil/noticias/Tendencias/2022/01/16/1044023/pasaporte-ruta-parque-patagonia.html
41,https://www.emol.com/movil/noticias/Nacional/2022/01/16/1044134/balance-minsal-16-enero-2022.html
42,https://www.emol.com/movil/noticias/Nacional/2022/01/16/1044134/balance-minsal-16-enero-2022.html
43,https://www.emol.com/movil/noticias/Nacional/2022/01/16/1044132/fiesta-clandestina-parque-ohiggins-balacera.html
44,https://www.emol.com/movil/noticias/Nacional/2022/01/16/1044132/fiesta-clandestina-parque-ohiggins-balacera.html
45,https://www.emol.com/movil/noticias/Nacional/2022/01/16/1044150/evopoli-y-gobierno-boric.html
46,https://www.emol.com/movil/noticias/Nacional/2022/01/16/1044150/evopoli-y-gobierno-boric.html
47,https://www.emol.com/movil/noticias/Nacional/2022/01/16/1044127/familia-playa-tome-atrapadas.html
48,https://www.emol.com/movil/noticias/Nacional/2022/01/16/1044127/familia-playa-tome-atrapadas.html
